Timestamp,What is your age?,Gender,Class,City/ Residencial status,,,,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,Some of my Friends think I am hothead,"When people are especially nice to me, I wonder what they want",I tell my friends openly when I 2 with them,"Once I became so mad, I broke things",When people 2 with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often 2 with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person ,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?,aggression/behavious score, 
07-11-2023 23:44,20,male,Uni,House,,,,more than 3 hour,more than 2 hour,"Mostly none , I feel good after a hard day",3,3,5,4,2,3,4,3,3,4,5,3,3,2,5,2,3,4,3,4,3,3,3,5,4,3,2,2,3,3,yes,yes,3.3,
07-12-2023 00:06,19,male,12th,delhi,,,,less than 1 hour,less than 1 hour,football ,5,5,1,5,4,3,3,1,4,4,4,2,2,3,4,5,4,3,3,2,3,2,2,2,2,2,1,2,1,3,yes,no,2.9,
07-12-2023 00:44,17,male,11th,delhi,,,,less than 1 hour,less than 1 hour,No,1,1,4,4,2,2,2,2,5,4,4,2,4,2,2,4,4,2,2,2,2,2,2,2,3,2,2,2,4,2,no,no,2.6,
07-12-2023 01:21,17,male,12th,uttar pradesh ,,,,more than 1 hour,less than 1 hour,Nothing ,3,3,3,4,1,4,3,4,4,2,4,2,4,2,4,3,3,4,4,3,4,3,3,4,4,4,1,1,1,2,no,no,3.033333333,
07-12-2023 05:02,17,male,12th,uttar pradesh Pakistan ,,,,less than 1 hour,less than 1 hour,Nothing much,1,1,5,3,1,3,4,4,5,2,5,3,2,4,4,4,4,5,4,2,1,4,2,5,3,4,3,3,4,4,no,yes,3.3,
07-12-2023 09:28,18,female,11th,Own,,,,more than 3 hour,less than 1 hour,I feel anger,3,3,3,4,3,4,2,2,4,1,3,3,3,2,4,3,4,4,4,3,2,4,4,5,5,4,3,4,4,4,yes,yes,3.366666667,
07-12-2023 10:41,19,male,12th,kanpur ,,,,more than 1 hour,less than 1 hour,Aggressive behavior ,1,1,3,4,4,3,2,4,2,1,5,4,4,2,5,5,5,5,4,5,4,5,5,2,1,5,2,4,4,5,no,yes,3.533333333,
07-12-2023 11:22,17,male,11th,uttar pradesh,,,,more than 2 hour,less than 1 hour,Feeling superstitious ,2,2,4,1,2,3,2,2,4,3,4,2,4,2,4,2,4,2,2,2,2,4,2,2,2,3,3,2,4,3,no,yes,2.666666667,
07-12-2023 11:32,19,male,12th,uttar pradesh,,,,more than 3 hour,more than 3 hour,Cool Mind ,4,4,3,4,5,3,1,3,4,2,3,3,4,1,3,3,2,4,3,1,3,3,2,3,3,4,4,4,2,3,no,yes,3.033333333,
07-12-2023 11:44,17,male,11th,Family,,,,more than 5 hour,more than 5 hour,"Agression, hypertension, losing control on myself",4,4,4,2,4,4,4,5,4,5,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,yes,yes,4.1,
07-12-2023 11:50,19,male,12th,delhi,,,,more than 2 hour,less than 1 hour,Aggressive ,3,3,4,4,2,4,1,1,3,2,3,1,4,1,2,1,1,3,3,2,3,2,2,3,1,2,2,2,2,2,no,yes,2.3,
07-12-2023 13:09,20,male,Msc,delhi,,,,less than 1 hour,less than 1 hour,No change ,3,3,5,2,1,1,2,4,3,1,4,1,1,1,4,2,4,4,4,5,2,4,4,2,4,2,2,2,2,4,yes,no,2.766666667,
07-12-2023 14:40,23,male,14,Chaman,,,,less than 1 hour,less than 1 hour,Mind relaxed and time pass,4,4,4,4,4,4,5,4,4,2,4,4,4,2,4,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,no,no,3.633333333,
07-12-2023 14:51,20,male,Bs ,muzaffarnagar,,,,more than 3 hour,less than 1 hour,I can't play ,2,2,4,2,2,4,1,4,4,4,2,2,2,1,5,4,4,5,4,2,4,5,1,5,5,4,4,5,4,4,no,yes,3.366666667,
07-12-2023 14:56,19,male,11th,uttar pradesh,,,,less than 1 hour,less than 1 hour,Aggressive ,3,3,3,4,2,3,3,3,4,5,4,3,4,2,4,3,3,2,3,4,3,2,2,4,4,3,3,2,2,4,no,yes,3.133333333,
07-12-2023 14:57,19,female,12th,ghaziabad,,,,more than 1 hour,more than 1 hour,Little aggression,4,4,4,4,4,4,3,3,4,4,3,5,3,1,3,4,3,3,4,4,4,3,4,3,3,2,2,4,3,3,yes,yes,3.4,
07-12-2023 15:02,19,male,12th,uttar pradesh DHA ,,,,more than 1 hour,less than 1 hour,Headache ,2,2,3,4,4,2,2,2,4,2,2,2,4,2,4,2,4,4,2,2,2,4,2,4,4,2,2,2,2,2,no,yes,2.7,
07-12-2023 15:02,23,male,MA History ,punjab,,,,less than 1 hour,less than 1 hour,Encourage ,1,1,4,4,5,4,2,1,4,4,4,3,4,2,4,2,1,4,4,2,4,2,2,4,2,1,2,3,2,1,no,yes,2.766666667,
07-12-2023 15:02,20,male,BS,karnataka,,,,more than 1 hour,more than 2 hour,I feel confident,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,no,yes,2.133333333,
07-12-2023 15:04,18,male,12th,uttar pradesh,,,,more than 2 hour,less than 1 hour,I feel aggressive,3,3,4,4,2,4,1,1,4,2,4,2,4,2,2,2,2,4,1,1,1,4,4,4,4,4,3,3,1,3,yes,yes,2.766666667,
07-12-2023 15:23,19,male,12th,jammu,,,,more than 1 hour,more than 1 hour,nothigs,3,3,2,4,3,2,2,2,1,1,4,2,3,1,4,1,4,4,2,3,1,4,5,2,3,4,1,1,2,2,no,no,2.533333333,
07-12-2023 15:33,19,male,12th,uttar pradesh ,,,,more than 2 hour,more than 2 hour,Aggression,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,no,yes,2.2,
07-12-2023 15:42,19,male,12th,uttar pradesh,,,,more than 1 hour,less than 1 hour,Nill,3,3,4,4,3,3,1,2,2,3,2,4,2,2,2,2,4,4,2,3,3,3,3,2,3,3,4,4,5,4,no,yes,2.966666667,
07-12-2023 15:42,28,female,AM,Student,,,,more than 1 hour,more than 1 hour,"NA
",3,3,4,4,1,1,1,3,2,3,4,2,4,2,5,4,3,4,3,2,3,4,3,3,4,2,2,3,2,4,yes,yes,2.933333333,
07-12-2023 15:47,19,male,12th,jammu,,,,less than 1 hour,less than 1 hour,Some experience,4,4,3,5,2,4,2,2,4,2,2,2,4,2,4,4,4,2,1,2,2,4,2,4,4,2,2,2,1,4,no,yes,2.866666667,
07-12-2023 15:50,19,female,B.com,jewar ,,,,less than 1 hour,less than 1 hour,Roud,1,1,2,5,2,2,3,5,5,3,4,4,4,4,4,2,3,1,2,3,4,4,2,2,3,3,3,4,3,4,no,yes,3.066666667,
07-12-2023 16:11,17,female,Ets,uttar pradesh,,,,less than 1 hour,less than 1 hour,No,2,2,4,3,2,3,2,3,4,2,2,2,4,2,4,2,4,3,4,4,4,4,2,4,2,2,2,2,2,4,no,no,2.866666667,
07-12-2023 16:23,18,female,12th,jewar,,,,less than 1 hour,less than 1 hour,Don't play violent games,3,3,3,4,2,4,1,2,3,2,4,2,3,1,3,2,3,2,4,2,2,4,2,2,3,2,2,2,3,4,no,yes,2.633333333,
07-12-2023 16:39,18,female,12th,uttar pradesh ,,,,less than 1 hour,less than 1 hour,Feeling relaxed ,4,4,4,4,4,2,3,4,4,2,4,4,4,2,5,4,4,4,3,4,4,2,2,4,2,4,2,4,4,4,no,yes,3.5,
07-12-2023 16:50,19,male,12th,jammu,,,,more than 1 hour,less than 1 hour,Excited,4,4,5,4,3,4,4,4,1,3,4,2,1,2,4,4,5,4,4,4,3,4,4,5,5,4,4,3,4,4,no,yes,3.666666667,
07-12-2023 16:55,18,female,12th,uttar pradesh,,,,more than 1 hour,less than 1 hour,Anger increase,3,3,4,2,2,4,2,4,4,2,4,2,4,2,4,4,2,4,5,2,4,2,2,5,4,4,3,2,2,2,no,yes,3.1,
07-12-2023 17:04,24,male,12th,uttar pradesh,,,,more than 2 hour,more than 1 hour,Very good,2,2,4,5,1,3,1,1,3,3,3,2,2,3,2,2,2,2,4,5,2,3,5,2,2,3,3,4,4,5,yes,yes,2.833333333,
07-12-2023 17:42,20,male,12th,sarai kale khan,,,,more than 5 hour,more than 2 hour,Na thing,2,2,2,5,2,1,4,4,2,5,4,2,2,3,3,1,5,2,3,2,4,5,2,3,1,4,4,5,1,3,no,yes,2.933333333,
07-12-2023 18:00,19,male,12th,uttar pradesh,,,,more than 3 hour,more than 2 hour,Liking arms and ammunitions,3,3,4,4,2,4,5,4,4,2,4,3,3,2,4,3,4,2,4,4,4,2,2,2,4,2,2,2,2,4,no,no,3.133333333,
07-12-2023 18:08,18,male,10th,jammu,,,,less than 1 hour,less than 1 hour,Good ,4,4,4,5,5,4,4,1,5,1,3,3,5,3,2,5,4,4,1,5,5,4,1,5,2,1,3,1,5,2,yes,no,3.366666667,
07-12-2023 19:33,20,male,12th,habibpur,,,,more than 5 hour,more than 5 hour,"Nothing 
",5,5,5,5,1,3,1,3,1,1,1,1,5,5,1,3,3,1,1,1,2,2,2,1,1,1,1,1,1,2,yes,no,2.2,
07-12-2023 19:46,20,male,13,uttar pradesh,,,,less than 1 hour,less than 1 hour,Time,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,yes,yes,4,
07-12-2023 19:46,20,male,Bachelors level,uttar pradesh,,,,less than 1 hour,less than 1 hour,I don't experience any change ,4,4,3,4,2,4,2,2,4,1,5,2,2,1,2,2,5,4,3,4,4,3,3,4,4,2,4,4,3,4,no,yes,3.166666667,
07-12-2023 19:59,20,female,Bscs ,uttar pradesh ,,,,more than 1 hour,more than 1 hour,Nothing much ??,2,2,1,4,1,1,1,3,3,1,4,2,4,1,4,3,2,2,4,4,1,2,2,4,2,1,1,1,1,1,no,no,2.166666667,
07-12-2023 20:02,18,male,Bscs 1st semester ,uttar pradesh ,,,,more than 1 hour,more than 1 hour,Car parking ,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,no,no,2.966666667,
07-12-2023 20:05,22,female,16th standard,uttar pradesh ,,,,less than 1 hour,more than 2 hour,Sometimes I feel tired,3,3,5,4,2,5,1,3,5,1,3,1,2,1,4,3,4,4,4,2,3,3,3,3,3,3,3,3,3,3,no,yes,3,
07-12-2023 20:20,22,female,Graduation ,uttar pradesh,,,,more than 1 hour,more than 1 hour,I rudely behave with others,2,2,5,4,2,3,1,1,3,1,3,1,4,1,3,1,3,1,3,2,1,4,1,1,1,2,1,5,1,2,no,yes,2.166666667,
07-12-2023 20:44,26,male,Bachelor ,uttar pradesh ,,,,less than 1 hour,less than 1 hour,Nothing ,3,3,1,4,2,4,1,2,3,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,2,2,3,no,no,2.333333333,
07-12-2023 20:52,20,female,BBA 4th sem,uttar pradesh,,,,more than 5 hour,more than 1 hour,Nothing. ,2,2,5,4,2,3,1,3,5,3,4,1,3,1,4,2,3,2,3,3,1,2,2,4,3,2,1,1,1,3,no,no,2.533333333,
07-12-2023 20:54,21,female,BBA 7th smester,chhatisgarh,,,,less than 1 hour,less than 1 hour,I do not play violent game ,2,2,2,3,1,4,3,3,4,2,4,2,2,2,4,4,4,4,4,2,4,5,4,4,2,3,4,4,2,4,no,yes,3.133333333,
07-12-2023 21:01,24,female,BBA,uttar pradesh,,,,less than 1 hour,less than 1 hour,Time waste,1,1,4,3,1,2,2,5,4,1,4,2,2,2,4,4,2,4,4,4,2,2,2,4,2,2,2,2,4,2,no,yes,2.666666667,
07-12-2023 21:35,19,male,Bscs 1 semester,uttar pradesh,,,,less than 1 hour,less than 1 hour,"I got mad 
",2,2,4,4,2,2,2,3,3,2,4,3,2,2,3,4,4,4,2,2,2,4,2,4,1,3,2,3,2,4,no,yes,2.766666667,
07-12-2023 21:35,32,male,Post Graduation ,faridabad,,,,less than 1 hour,less than 1 hour,Anxiety & stress,4,4,4,4,4,2,3,4,3,2,4,4,3,2,3,3,4,2,2,3,3,2,2,2,2,3,2,2,2,2,yes,yes,2.866666667,
07-12-2023 21:56,17,male,11th,uttar pradesh ,,,,less than 1 hour,less than 1 hour,Nothing ,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,no,yes,1.166666667,
07-12-2023 22:21,19,female,12th,uttar pradesh,,,,less than 1 hour,less than 1 hour,i don't play,3,3,3,5,1,2,1,2,3,1,2,1,1,1,3,1,4,2,3,2,1,2,2,4,4,1,1,2,1,1,no,no,2.1,
07-12-2023 23:08,20,male,12th,jammu ,,,,more than 1 hour,less than 1 hour,Horrible dreams ,5,5,4,5,3,4,1,4,3,1,5,3,4,1,5,5,3,4,3,1,1,3,3,3,4,1,1,1,1,1,no,yes,2.933333333,
07-12-2023 23:08,20,female,12th,meerut,,,,less than 1 hour,less than 1 hour,Didn't change any type of behavior ,3,3,3,5,2,3,1,2,2,1,3,1,3,1,3,1,3,3,3,1,3,3,3,3,3,1,2,1,3,3,no,yes,2.4,
07-12-2023 23:52,18,female,12th,uttar pradesh,,,,less than 1 hour,less than 1 hour,I can't play this game ,1,1,4,4,2,5,2,2,3,4,5,2,2,1,1,2,3,3,1,1,4,3,2,3,2,4,1,2,1,4,no,yes,2.5,
7-13-2023 0:28:07,16,male,10th,jammu ghaziabad,,,,more than 2 hour,more than 2 hour,Vision problem,3,3,2,1,2,1,1,4,4,3,4,5,4,4,4,3,2,3,4,4,3,4,4,4,5,3,3,3,4,4,no,yes,3.266666667,
7-13-2023 7:08:06,20,male,Bscs,uttar pradesh ,,,,less than 1 hour,less than 1 hour,Nothing ,1,1,4,4,1,3,1,1,4,1,4,1,3,1,1,3,1,3,3,3,2,2,1,3,1,1,1,1,1,2,no,no,1.966666667,
7-13-2023 8:47:20,18,female,12th,uttar pradesh,,,,less than 1 hour,less than 1 hour,Normal,1,1,4,5,1,3,3,3,5,3,4,1,4,2,4,2,3,5,4,1,2,4,3,2,2,2,2,3,3,4,no,yes,2.866666667,
7-13-2023 9:14:53,20,male,Dvm,jhonpur,,,,less than 1 hour,less than 1 hour,Nothing,4,4,1,4,4,4,4,3,3,3,1,2,1,1,1,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,yes,yes,3,
7-13-2023 10:56:28,18,male,11th,jammu,,,,more than 1 hour,more than 1 hour,Intelligence stability ,3,3,3,4,2,4,2,2,3,2,2,2,2,2,2,4,3,4,3,2,2,4,2,2,2,2,2,2,2,4,no,yes,2.6,
7-13-2023 12:03:50,17,male,11th,uttar pradesh,,,,more than 3 hour,more than 3 hour,Angry ??,4,4,4,3,4,4,4,4,3,2,4,3,4,2,4,4,3,3,4,3,3,4,3,4,4,3,2,2,2,3,no,yes,3.333333333,
7-13-2023 12:08:57,18,male,10th,uttar pradesh,,,,more than 3 hour,more than 2 hour,Mostly i become grump,4,4,4,4,4,2,2,4,4,2,4,2,4,2,4,4,3,4,2,4,2,4,3,3,4,4,3,2,2,3,no,yes,3.233333333,
7-13-2023 12:13:55,19,male,12th,meerut,,,,more than 2 hour,more than 2 hour,fighting behaviour,3,3,2,4,1,4,1,3,4,2,4,1,2,1,4,2,4,2,3,4,2,4,1,4,2,4,2,1,1,4,no,yes,2.633333333,
7-13-2023 12:17:53,17,male,11th,uttar pradesh ,,,,more than 2 hour,more than 2 hour,I feel like I?m in battle field,4,4,4,4,2,4,3,3,3,2,3,2,4,2,4,4,4,3,4,4,4,4,3,4,3,3,3,2,4,3,yes,yes,3.333333333,
7-13-2023 12:21:31,18,male,12th,uttar pradesh,,,,more than 1 hour,more than 1 hour,I feel myself aggresive,4,4,3,5,4,5,2,2,2,4,4,5,5,3,3,4,4,4,4,4,5,5,3,5,4,3,5,4,4,4,yes,no,3.9,
7-13-2023 12:28:15,17,male,11th,uttar pradesh ,,,,more than 1 hour,more than 1 hour,Ok,1,1,4,4,1,2,1,2,5,1,4,1,4,1,2,2,2,3,2,3,3,2,3,1,4,2,1,1,1,4,no,no,2.266666667,
7-13-2023 12:29:19,20,male,11th,uttar pradesh ,,,,more than 1 hour,less than 1 hour,It's waste a lot of time ,2,2,4,4,1,1,1,1,2,1,1,1,3,1,2,2,2,2,2,2,2,1,2,2,4,3,3,1,3,1,no,no,1.966666667,
7-13-2023 12:40:11,20,male,12th,uttar pradesh,,,,more than 2 hour,more than 2 hour,None,1,1,2,4,1,2,1,1,3,1,2,2,3,1,1,1,3,1,2,3,1,2,2,1,2,2,1,1,1,1,no,no,1.666666667,
7-13-2023 13:02:05,15,male,9th,uttar pradesh,,,,more than 5 hour,more than 5 hour,NA,1,1,2,1,1,1,2,2,2,1,1,5,5,4,3,2,5,4,4,4,3,5,5,5,2,4,3,1,1,1,no,no,2.7,
7-13-2023 13:08:45,20,male,Bs,muzaffarnagar,,,,more than 3 hour,more than 1 hour,I have bulit my English and active my mind ,3,3,4,3,4,4,4,4,3,4,4,2,4,4,4,4,4,4,3,4,4,2,5,4,1,4,4,1,4,5,no,yes,3.566666667,
7-13-2023 15:43:19,20,male,DVM,muradabad,,,,more than 2 hour,more than 1 hour,Aggressive,4,4,4,3,2,3,2,1,3,2,3,4,2,1,4,2,4,4,4,3,4,4,3,2,2,2,2,3,2,4,yes,yes,2.9,
7-13-2023 20:45:20,18,male,12th,uttar pradesh,,,,more than 2 hour,more than 1 hour,"Lack of focus, low temper, easily distraction, hArd time studying.",4,4,5,2,2,5,3,4,5,3,2,4,4,2,5,4,4,3,5,5,2,5,5,5,5,4,3,2,4,4,yes,yes,3.8,
7-13-2023 20:53:56,19,male,LLB,uttar pradesh,,,,more than 3 hour,more than 3 hour,Nothing ,2,2,2,4,2,4,4,2,2,2,2,2,4,2,4,4,2,2,2,2,4,4,4,4,4,4,2,2,4,4,no,yes,2.933333333,
7-13-2023 20:55:24,18,female,11th,uttar pradesh ,,,,more than 3 hour,less than 1 hour,I feel relax,2,2,4,5,1,4,1,1,4,1,4,2,4,2,4,4,2,4,4,2,4,4,2,4,5,5,4,2,2,4,no,yes,3.1,
7-13-2023 20:58:36,18,male,11th,uttar pradesh,,,,more than 3 hour,more than 3 hour,i wana paly game for. freshment ,2,2,4,3,2,4,2,2,2,2,4,4,4,2,2,2,2,1,3,2,2,2,2,3,3,4,2,2,2,3,yes,yes,2.533333333,
7-13-2023 21:00:37,18,male,12th,uttar pradesh,,,,less than 1 hour,less than 1 hour,Wasting of time.,1,1,3,4,4,5,3,1,2,2,3,3,4,4,4,4,4,3,1,2,2,5,5,1,5,1,3,3,1,5,no,yes,2.966666667,
7-13-2023 21:28:30,22,male,MSC ,uttar pradesh ,,,,less than 1 hour,less than 1 hour,Wants to play more than more ,2,2,4,3,1,4,3,1,3,1,3,2,3,2,3,2,2,3,3,1,3,2,2,3,3,3,1,3,2,3,no,yes,2.433333333,
7-13-2023 21:50:19,25,male,Master,mohan nagar,,,,more than 1 hour,more than 1 hour,Time pass,1,1,3,5,1,4,1,1,1,1,1,1,3,1,1,1,2,2,3,4,3,1,1,1,3,1,1,1,1,3,no,yes,1.8,
7-13-2023 22:07:55,22,female,Master,uttar pradesh,,,,less than 1 hour,less than 1 hour,no,3,3,3,3,3,3,3,3,3,3,3,1,4,3,2,3,3,3,4,3,3,3,2,3,4,3,5,3,3,4,yes,yes,3.066666667,
7-13-2023 22:27:14,17,male,10th,uttar pradesh,,,,more than 2 hour,more than 2 hour,during game feel good after realize waste time,2,2,2,3,4,3,4,2,4,4,5,3,2,1,4,3,3,3,3,3,2,4,4,3,1,3,2,3,3,4,no,yes,2.966666667,
7-13-2023 22:52:50,20,male,12th,faridabad,,,,more than 2 hour,more than 2 hour,Abnormal ,4,4,4,4,3,3,4,3,4,2,4,4,2,4,4,4,4,3,4,4,3,4,3,3,2,4,3,4,3,3,no,yes,3.466666667,
7-13-2023 23:09:35,18,female,12th,uttar pradesh ,,,,more than 2 hour,less than 1 hour,Nothing,2,2,5,4,1,3,1,1,5,1,5,1,4,1,4,2,2,2,2,4,2,4,1,4,2,1,2,2,2,2,no,yes,2.466666667,
7-13-2023 23:11:55,17,male,10th,ghaziabad ,,,,more than 1 hour,more than 2 hour,No change,2,2,3,2,4,3,4,2,3,1,3,3,4,2,4,3,4,4,4,2,3,3,3,3,4,1,3,3,2,3,no,yes,2.9,
7-13-2023 23:24:29,20,male,12th,ghaziput,,,,more than 2 hour,less than 1 hour,Just for fun,2,2,4,4,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,no,no,2.266666667,
7-13-2023 23:51:17,15,male,9th,uttar pradesh,,,,more than 1 hour,more than 1 hour,"I,m normal playing this game",2,2,2,2,2,4,2,4,4,2,4,2,4,2,2,4,2,2,2,4,2,4,2,4,5,2,2,2,2,2,yes,yes,2.7,
7-13-2023 23:57:23,23,male,Msc ,uttar pradesh,,,,more than 5 hour,more than 5 hour,Feeling aggressive and glamourised offending ,4,4,3,5,1,4,2,4,5,2,2,2,4,2,4,2,3,4,4,4,2,2,2,4,4,2,2,4,3,4,no,yes,3.133333333,
7-14-2023 0:05:34,21,male,15th,sanjay nagar ,,,,more than 1 hour,less than 1 hour,None,1,1,3,3,2,2,1,2,4,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,4,2,1,1,1,1,yes,no,1.833333333,
7-14-2023 8:22:02,20,male,Diploma ,uttar pradesh ,,,,less than 1 hour,less than 1 hour,Yes,4,4,2,2,2,3,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,2,4,4,4,2,4,1,4,no,yes,3.3,
7-14-2023 11:32:18,18,male,12th,uttar pradesh,,,,more than 3 hour,more than 2 hour,Frustatiom,3,3,4,3,2,4,1,5,2,3,2,2,4,5,5,1,5,1,5,1,2,2,1,1,3,2,1,2,4,4,yes,yes,2.766666667,
7-14-2023 11:33:47,19,male,11th,uttar pradesh,,,,more than 2 hour,more than 2 hour,feel like i must play more,1,1,2,4,2,2,4,3,5,4,2,4,2,1,4,2,4,2,2,4,1,3,4,2,3,2,2,2,2,2,no,no,2.6,
7-14-2023 12:09:42,23,female,BS 4th year ,uttar pradesh ,,,,less than 1 hour,more than 1 hour,Increased aggression,4,4,5,5,3,4,4,3,5,4,3,3,5,4,2,3,5,5,3,2,3,4,4,4,4,4,4,3,5,3,yes,no,3.8,
7-14-2023 12:25:12,18,male,Bachelors,uttar pradesh,,,,more than 5 hour,more than 5 hour,I feel like playing out the same violent stunts as the actors in the videogame act out.,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,yes,yes,4.9,
7-14-2023 12:41:19,19,male,9th,uttar pradesh,,,,more than 1 hour,more than 1 hour,Relaxed,2,2,3,2,2,3,3,2,3,3,3,4,2,1,3,2,3,2,3,4,1,3,4,2,3,2,3,3,1,3,no,no,2.566666667,
7-14-2023 12:43:19,16,male,9th,uttar pradesh,,,,less than 1 hour,less than 1 hour,Fun,3,3,1,1,2,3,3,2,1,2,2,3,1,2,2,1,3,2,1,1,2,3,2,3,2,2,1,1,1,2,no,yes,1.933333333,
